ticker,shortName,sector,industry,rank,score_FINAL_adj,rating,data_completeness,score_valuation,score_profitability,score_growth,score_financial,score_momentum,score_fundamental_momentum,score_income,revenue_trend,ebitda_trend,margin_trend,debt_trend,fcf_trend,earnings_consistency,revenue_r2,ebitda_r2,revenue_cagr,ebitda_cagr,revenue_qoq,ebitda_qoq,revenue_accel,margin_accel,lastPrice,priceVs50dMA,priceVs200dMA,priceVs52wHigh,priceVs52wLow,position52w,beta,marketCap,dividendYield,liquidity_flag,trailingPE,forwardPE,priceToBook,enterpriseToEbitda,returnOnEquity,profitMargins,operatingMargins,revenueGrowth,earningsGrowth,debtToEquity,currentRatio,freeCashflow
KHC,The Kraft Heinz Company,Consumer Defensive,Packaged Foods,145,5.1495810837438425,Neutral,89.7,7.678571428571429,2.2285714285714286,2.2142857142857144,7.142857142857142,6.571428571428571,4.670000000000001,9.428571428571429,0.012731052298252448,0.04011658747508329,0.04604741725225074,-0.006732534589445632,-0.07657963013057023,,0.9971885087466217,0.8758219755770231,0.052264114629895,0.17311933577412897,-0.003601415095112762,-0.04668512425819089,,,24.8700008392334,-0.022182697343207214,0.03585511520538609,-0.1146315115972446,0.1823152288677632,0.5435862280982847,0.082,29500329984.0,6.47,False,22.271635,11.920677,0.819444,8.332,-0.0876,-0.13639,0.1549,-0.014,-0.142,52.591,1.061,3250500096.0
LRCX,Lam Research Corporation,Technology,Semiconductor Equipment & Materials,266,4.726286609941782,Débil,89.7,1.7207792207792207,8.12987012987013,6.1688311688311686,7.662337662337663,2.922077922077922,4.779220779220781,1.4285714285714284,0.05683803857620076,0.10773810007810213,0.042403435118153955,6.216447174862654e-05,0.0447595655855442,,0.9972040768683221,0.9686443918748547,0.2547803986419861,0.4571519792485952,0.0715274003437098,0.10111963556617165,,,269.6499938964844,-0.1300456902772743,0.013847559646438912,-0.38506272771611316,1.157199951171875,0.4614034893029805,1.859,337424941056.0,0.49,False,46.8151,23.142696,27.054781,38.818,0.65066004,0.31272,0.37390998,0.3,0.348,33.049,2.629,3090484480.0
KR,Kroger Company (The),Consumer Defensive,Grocery Stores,475,3.232468965517241,Débil,89.7,5.821428571428571,2.157142857142857,5.0,1.4285714285714288,5.771428571428572,1.5000000000000002,2.0,0.003854506623614832,-0.002244476488601496,-0.051363388939732156,-0.006732534589445632,-0.1069229189439744,,0.8643328893944904,0.8774866308495723,0.015236764355886168,-0.007902192274916842,0.0,0.0,,,60.875,0.050318675744410735,-0.04582171795979051,-0.20507965526247063,0.12419205909510622,0.2998216674097192,0.406,36284481536.0,2.36,False,32.908108,11.044392,6.5801992,7.326,0.14442,0.0072600003,0.029779999,0.02,0.136,413.24,0.702,2535500032.0
LVS,Las Vegas Sands Corp.,Consumer Cyclical,Resorts & Casinos,367,4.328844639498432,Débil,89.7,6.0,8.50909090909091,1.5454545454545454,1.4545454545454546,1.4727272727272727,4.71909090909091,7.454545454545455,0.015090217807252039,0.021475945828906405,0.006306097103889989,0.020454675076310113,0.13344762526548004,,0.9875752567781676,0.9560920255525147,0.06231445736512886,0.09000933946366318,-0.0015283982247984028,-0.030848900217668895,,,41.005001068115234,-0.09937708505861609,-0.23231016375794067,-0.4179559819997838,0.003548729028762576,0.004900340253978876,0.819,26558988288.0,2.92,False,15.893412,11.679675,45.71349,8.368,1.22869,0.12588,0.19658001,-0.007,-0.198,1703.902,0.997,2212875008.0
KKR,KKR & Co. Inc.,Financial Services,Asset Management,480,2.984652307692308,Evitar,89.7,3.423076923076923,1.5846153846153848,5.0,2.4615384615384617,1.3538461538461537,4.706153846153847,1.076923076923077,0.023454447864128567,0.048801876805715814,0.028563519379000844,-2.944741702476739e-05,0.02253610897088035,,0.9927717333665073,0.9516980436412839,0.0984076721680458,0.20796673347248218,0.0051899423421412055,,,,98.6500015258789,-0.04999719259605573,-0.06149110627622312,-0.35141353368915906,0.19329867576967352,0.23015989523086428,1.791,91112210432.0,0.81,False,31.51757,13.314582,3.1070867,11.221,0.0728,0.12201,0.2065,0.078,0.4,69.812,0.856,
LEN,Lennar Corporation,Consumer Cyclical,Residential Construction,317,4.5240471473354225,Débil,89.7,7.7727272727272725,2.2727272727272725,0.36363636363636365,9.454545454545453,2.6363636363636362,4.71909090909091,6.363636363636363,0.015090217807252039,0.021475945828906405,0.006306097103889989,0.020454675076310113,0.13344762526548004,,0.9875752567781676,0.9560920255525147,0.06231445736512886,0.09000933946366318,-0.013191642644625344,-0.045827749613418914,,,79.20999908447266,-0.06112358078684199,-0.18229099865102627,-0.40918923633570026,0.0413462050150879,0.054219448055730694,1.398,19071668224.0,2.5,False,12.40909,12.418745,0.88210714,10.244,0.07368,0.04934,0.052750003,-0.052,-0.315,28.692,8.508,1077926016.0
LW,"Lamb Weston Holdings, Inc.",Consumer Defensive,Packaged Foods,282,4.64959487684729,Débil,89.7,5.821428571428571,4.485714285714286,5.428571428571429,5.571428571428571,2.8571428571428568,4.670000000000001,5.142857142857142,0.012731052298252448,0.04011658747508329,0.04604741725225074,-0.006732534589445632,-0.07657963013057023,,0.9971885087466217,0.8758219755770231,0.052264114629895,0.17311933577412897,0.014467573818372284,-0.06347561851298643,,,46.32500076293945,-0.0892522773521286,-0.009415084198338253,-0.30930370116386674,0.23139289640987393,0.2955857644461615,0.461,6368907264.0,3.2,False,22.271635,13.731052,3.4893794,9.511,0.16280001,0.043860003,0.097729996,0.056,-0.062,221.223,1.423,452924992.0
LDOS,"Leidos Holdings, Inc.",Technology,Information Technology Services,374,4.2976766681594265,Débil,89.7,8.782467532467532,2.8181818181818183,1.6883116883116882,3.9285714285714284,3.0779220779220777,4.779220779220781,5.454545454545454,0.05683803857620076,0.10773810007810213,0.042403435118153955,6.216447174862654e-05,0.0447595655855442,,0.9972040768683221,0.9686443918748547,0.2547803986419861,0.4571519792485952,0.017600579382245973,-0.009151361064891847,,,131.05999755859375,0.03660135818503596,-0.13256196987334756,-0.36307529008799266,0.32571310498274064,0.3011878922326606,0.572,16447008768.0,1.33,False,12.237162,10.278974,3.1126206,9.284,0.27781,0.07803,0.11715999,0.072,-0.067,123.276,1.629,1146625024.0
LLY,Eli Lilly and Company,Healthcare,Drug Manufacturers - General,269,4.715088203266788,Débil,89.7,1.1403508771929827,9.82456140350877,8.07017543859649,2.807017543859649,4.0701754385964914,4.714035087719299,1.7543859649122806,0.019451694792271483,0.025099829187149703,0.009330299824089037,0.0045345467666636635,0.02253610897088035,,0.9952439880283319,0.9466072456018746,0.08098825420660127,0.10571293560709794,0.10265891622818545,0.1516498289384229,,,1147.4749755859375,-0.02748792186888993,0.07694902985746754,-0.11230806824280559,0.6115089889557441,0.749956899045707,0.502,1023166251008.0,0.61,False,38.48977,24.249395,30.192623,25.419,1.02286,0.33528998,0.54222,0.477,0.262,162.071,1.355,11065900032.0
LKQ,LKQ Corporation,Consumer Cyclical,Auto Parts,267,4.725239623824451,Débil,89.7,8.545454545454547,2.1999999999999997,0.9090909090909091,6.727272727272727,3.7090909090909094,4.71909090909091,9.818181818181818,0.015090217807252039,0.021475945828906405,0.006306097103889989,0.020454675076310113,0.13344762526548004,,0.9875752567781676,0.9560920255525147,0.06231445736512886,0.09000933946366318,-0.007612552206885856,-0.050340136054421766,,,23.899999618530273,-0.04145411739458904,-0.1641340176990157,-0.3563156579981074,0.1289560518908961,0.17105260767733532,0.843,6046749696.0,5.22,False,13.502825,7.72885,0.93939155,7.737,0.07131,0.03368,0.07013,-0.03,-0.29,82.105,1.578,724124992.0
LIN,Linde plc,Basic Materials,Specialty Chemicals,334,4.479068602540834,Débil,89.7,2.6315789473684212,8.368421052631579,4.473684210526315,2.368421052631579,3.894736842105263,5.050000000000001,4.7368421052631575,0.023454447864128567,0.048801876805715814,0.028563519379000844,-2.944741702476739e-05,0.02253610897088035,,0.9927717333665073,0.9516980436412839,0.0984076721680458,0.20796673347248218,0.022911598376161385,0.0170714141689053,,,457.8599853515625,-0.0701235908438822,-0.050821486703161445,-0.16479389757102803,0.18072098961153893,0.4368531688789583,0.727,211087425536.0,1.39,False,29.58075,23.416254,5.4012833,17.196,0.18400998,0.20435,0.28119,0.093,0.113,68.947,0.879,4160750080.0
LYV,"Live Nation Entertainment, Inc.",Communication Services,Entertainment,437,3.862573399014779,Débil,89.7,1.1904761904761907,3.333333333333333,6.904761904761905,1.5476190476190474,5.9523809523809526,4.823809523809524,4.285714285714286,0.016471287956867288,0.05091917701449848,0.36932751540041064,-0.061522486012124775,-0.4830644665027026,,0.3470229363293961,0.7821098565563036,0.06720437263488721,0.22229825094314082,0.025777275974800926,0.03818435025104675,,,168.7100067138672,-0.06158461694194195,0.04223814448052532,-0.10853365012487615,0.3460188823509429,0.6786106511323297,1.116,39325892608.0,0.9299999999999999,False,23.775158,89.40734,472.85715,28.253,0.17677,0.00513,0.06696,0.094,1.562,620.214,0.852,1695030656.0
L,Loews Corporation,Financial Services,Insurance - Property & Casualty,462,3.563646472148541,Débil,89.7,5.903846153846153,1.3384615384615386,3.153846153846154,3.6923076923076925,3.8923076923076922,4.706153846153847,0.38461538461538464,0.023454447864128567,0.048801876805715814,0.028563519379000844,-2.944741702476739e-05,0.02253610897088035,,0.9927717333665073,0.9516980436412839,0.0984076721680458,0.20796673347248218,0.009667909846406078,0.03048395100504534,,,107.98999786376953,-0.04361520488218085,-0.008468756171641445,-0.10759443133815783,0.12548199962240258,0.48044684212966987,0.507,22076147712.0,0.23,False,13.250307,37.23793,1.154751,7.938,0.09313,0.09024,0.14533,0.039,0.156,44.609,0.507,1262000000.0
LOW,"Lowe's Companies, Inc.",Consumer Cyclical,Home Improvement Retail,165,5.093516990595611,Neutral,89.7,6.863636363636363,4.836363636363636,5.0,4.636363636363637,2.4000000000000004,6.202727272727275,6.7272727272727275,0.023454447864128567,0.016227580329124205,0.23057516143565096,-0.03080319442365914,-0.05085481083595333,,0.9995638502895533,0.9995518801504913,0.0984076721680458,0.06705566701644128,0.022593075456181035,0.016829383247500072,,,194.14999389648438,-0.07457370856681,-0.1739582539102883,-0.3375076984355273,0.00413754277985201,0.008023206263006524,0.846,108990349312.0,2.58,False,16.434856,14.910823,-14.65339,11.608,0.30898002,0.073460005,0.13365,0.083,0.0,128.294,1.105,4615374848.0
LMT,Lockheed Martin Corporation,Industrials,Aerospace & Defense,130,5.215381835842642,Neutral,89.7,5.316901408450704,5.816901408450704,7.711267605633804,2.3943661971830985,4.985915492957746,4.701408450704226,9.366197183098592,0.023454447864128567,0.048801876805715814,0.028563519379000844,-2.944741702476739e-05,0.02253610897088035,,0.9927717333665073,0.9516980436412839,0.0984076721680458,0.20796673347248218,0.025404078199317576,0.21075675202817967,,,536.9550170898438,-0.03430254600424265,-0.039914685268676364,-0.22405344351178647,0.2280274833386935,0.3913837766039009,0.104,123960016896.0,2.57,False,19.797642,16.398237,14.089239,14.539,0.89165,0.08163,0.119569995,0.105,4.438,234.238,1.193,5562625024.0
LYB,LyondellBasell Industries NV,Basic Materials,Specialty Chemicals,98,5.367456987295826,Neutral,89.7,6.776315789473684,2.7368421052631575,8.947368421052632,2.894736842105263,6.052631578947368,5.050000000000001,8.947368421052632,0.023454447864128567,0.048801876805715814,0.028563519379000844,-2.944741702476739e-05,0.02253610897088035,,0.9927717333665073,0.9516980436412839,0.0984076721680458,0.20796673347248218,0.051191301953167866,0.6064836122534675,,,64.16500091552734,0.03261098440465915,0.04903738237714239,-0.23558493071804454,0.5431698151882478,0.5331681047102773,0.353,20727730176.0,4.25,False,29.655588,9.965878,1.9422164,9.184,-0.02269,-0.01132,0.17924999,0.198,3.96,132.759,1.641,1228000000.0
